Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,135,9,Some Random Commen with Id 0
1,0,1,190,0,Some Random Commen with Id 1
2,0,1,156,3,Some Random Commen with Id 2
3,0,1,189,4,Some Random Commen with Id 3
4,1,3,14,1,Some Random Commen with Id 4
5,1,3,113,8,Some Random Commen with Id 5
6,1,3,199,7,Some Random Commen with Id 6
7,1,3,141,1,Some Random Commen with Id 7
8,1,3,54,8,Some Random Commen with Id 8
9,1,3,67,7,Some Random Commen with Id 9
10,1,3,31,5,Some Random Commen with Id 10
11,2,2,116,9,Some Random Commen with Id 11
12,2,2,51,2,Some Random Commen with Id 12
13,2,2,86,9,Some Random Commen with Id 13
14,2,2,192,2,Some Random Commen with Id 14
15,2,2,138,5,Some Random Commen with Id 15
16,2,2,189,0,Some Random Commen with Id 16
17,2,2,31,7,Some Random Commen with Id 17
18,3,2,164,0,Some Random Commen with Id 18
19,3,2,23,7,Some Random Commen with Id 19
20,3,2,55,4,Some Random Commen with Id 20
21,4,6,15,0,Some Random Commen with Id 21
22,4,6,18,0,Some Random Commen with Id 22
23,4,6,123,3,Some Random Commen with Id 23
24,4,6,28,3,Some Random Commen with Id 24
25,5,3,176,5,Some Random Commen with Id 25
26,6,0,75,5,Some Random Commen with Id 26
27,6,0,154,3,Some Random Commen with Id 27
28,6,0,12,5,Some Random Commen with Id 28
29,6,0,21,2,Some Random Commen with Id 29
30,6,0,14,3,Some Random Commen with Id 30
31,6,0,62,6,Some Random Commen with Id 31
32,7,8,99,3,Some Random Commen with Id 32
33,7,8,44,0,Some Random Commen with Id 33
34,8,2,194,5,Some Random Commen with Id 34
35,8,2,44,3,Some Random Commen with Id 35
36,8,2,37,2,Some Random Commen with Id 36
37,8,2,17,1,Some Random Commen with Id 37
38,9,2,40,7,Some Random Commen with Id 38
39,9,2,132,4,Some Random Commen with Id 39
40,9,2,192,0,Some Random Commen with Id 40
41,9,2,189,3,Some Random Commen with Id 41
42,9,2,155,9,Some Random Commen with Id 42
43,9,2,151,0,Some Random Commen with Id 43
44,9,2,168,0,Some Random Commen with Id 44
45,9,2,133,6,Some Random Commen with Id 45
46,10,4,125,0,Some Random Commen with Id 46
47,12,2,150,1,Some Random Commen with Id 47
48,13,2,8,0,Some Random Commen with Id 48
49,13,2,41,1,Some Random Commen with Id 49
50,13,2,55,3,Some Random Commen with Id 50
51,13,2,183,4,Some Random Commen with Id 51
52,13,2,170,6,Some Random Commen with Id 52
53,13,2,148,4,Some Random Commen with Id 53
54,13,2,156,2,Some Random Commen with Id 54
55,13,2,107,0,Some Random Commen with Id 55
56,14,4,116,4,Some Random Commen with Id 56
57,14,4,89,2,Some Random Commen with Id 57
58,14,4,2,4,Some Random Commen with Id 58
59,15,6,90,9,Some Random Commen with Id 59
60,15,6,135,2,Some Random Commen with Id 60
61,16,1,142,6,Some Random Commen with Id 61
62,17,6,60,2,Some Random Commen with Id 62
63,17,6,55,3,Some Random Commen with Id 63
64,17,6,130,8,Some Random Commen with Id 64
65,17,6,126,5,Some Random Commen with Id 65
66,17,6,188,6,Some Random Commen with Id 66
67,18,1,100,2,Some Random Commen with Id 67
68,18,1,7,4,Some Random Commen with Id 68
69,18,1,187,2,Some Random Commen with Id 69
70,18,1,174,8,Some Random Commen with Id 70
71,18,1,151,2,Some Random Commen with Id 71
72,18,1,2,7,Some Random Commen with Id 72
73,18,1,192,4,Some Random Commen with Id 73
74,18,1,52,3,Some Random Commen with Id 74
75,18,1,101,8,Some Random Commen with Id 75
76,19,0,116,6,Some Random Commen with Id 76
77,19,0,33,3,Some Random Commen with Id 77
78,19,0,110,4,Some Random Commen with Id 78
