Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,64,6,Some Random Commen with Id 0
1,0,7,188,9,Some Random Commen with Id 1
2,0,7,54,7,Some Random Commen with Id 2
3,0,7,96,1,Some Random Commen with Id 3
4,0,7,57,5,Some Random Commen with Id 4
5,0,7,119,9,Some Random Commen with Id 5
6,0,7,83,0,Some Random Commen with Id 6
7,0,7,96,7,Some Random Commen with Id 7
8,1,3,58,0,Some Random Commen with Id 8
9,1,3,178,2,Some Random Commen with Id 9
10,1,3,123,4,Some Random Commen with Id 10
11,1,3,181,6,Some Random Commen with Id 11
12,1,3,38,9,Some Random Commen with Id 12
13,1,3,15,5,Some Random Commen with Id 13
14,1,3,38,3,Some Random Commen with Id 14
15,1,3,112,4,Some Random Commen with Id 15
16,2,3,7,8,Some Random Commen with Id 16
17,2,3,116,9,Some Random Commen with Id 17
18,2,3,165,1,Some Random Commen with Id 18
19,2,3,114,0,Some Random Commen with Id 19
20,2,3,147,8,Some Random Commen with Id 20
21,2,3,20,8,Some Random Commen with Id 21
22,2,3,171,1,Some Random Commen with Id 22
23,2,3,8,3,Some Random Commen with Id 23
24,2,3,68,1,Some Random Commen with Id 24
25,3,8,104,0,Some Random Commen with Id 25
26,4,1,144,1,Some Random Commen with Id 26
27,4,1,86,3,Some Random Commen with Id 27
28,4,1,151,2,Some Random Commen with Id 28
29,4,1,81,8,Some Random Commen with Id 29
30,4,1,195,9,Some Random Commen with Id 30
31,4,1,104,7,Some Random Commen with Id 31
32,4,1,56,9,Some Random Commen with Id 32
33,4,1,199,1,Some Random Commen with Id 33
34,5,0,1,0,Some Random Commen with Id 34
35,5,0,75,4,Some Random Commen with Id 35
36,5,0,80,9,Some Random Commen with Id 36
37,5,0,28,2,Some Random Commen with Id 37
38,5,0,36,5,Some Random Commen with Id 38
39,5,0,68,7,Some Random Commen with Id 39
40,6,9,111,8,Some Random Commen with Id 40
41,7,6,120,4,Some Random Commen with Id 41
42,7,6,40,9,Some Random Commen with Id 42
43,7,6,111,3,Some Random Commen with Id 43
44,7,6,128,1,Some Random Commen with Id 44
45,7,6,190,1,Some Random Commen with Id 45
46,7,6,0,4,Some Random Commen with Id 46
47,7,6,10,9,Some Random Commen with Id 47
48,7,6,164,8,Some Random Commen with Id 48
49,7,6,103,5,Some Random Commen with Id 49
50,8,4,181,5,Some Random Commen with Id 50
51,9,8,78,5,Some Random Commen with Id 51
52,9,8,85,6,Some Random Commen with Id 52
53,9,8,153,0,Some Random Commen with Id 53
54,9,8,93,5,Some Random Commen with Id 54
55,9,8,49,3,Some Random Commen with Id 55
56,9,8,151,7,Some Random Commen with Id 56
57,10,0,153,3,Some Random Commen with Id 57
58,11,3,27,6,Some Random Commen with Id 58
59,11,3,123,7,Some Random Commen with Id 59
60,12,1,5,4,Some Random Commen with Id 60
61,12,1,191,0,Some Random Commen with Id 61
62,12,1,67,9,Some Random Commen with Id 62
