Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,21,4,Some Random Commen with Id 0
1,0,9,86,4,Some Random Commen with Id 1
2,0,9,48,5,Some Random Commen with Id 2
3,1,1,176,8,Some Random Commen with Id 3
4,1,1,129,5,Some Random Commen with Id 4
5,1,1,56,3,Some Random Commen with Id 5
6,1,1,141,9,Some Random Commen with Id 6
7,1,1,155,4,Some Random Commen with Id 7
8,1,1,106,4,Some Random Commen with Id 8
9,2,8,125,4,Some Random Commen with Id 9
10,2,8,148,2,Some Random Commen with Id 10
11,3,9,169,2,Some Random Commen with Id 11
12,3,9,111,0,Some Random Commen with Id 12
13,3,9,67,4,Some Random Commen with Id 13
14,3,9,91,5,Some Random Commen with Id 14
15,3,9,83,8,Some Random Commen with Id 15
16,3,9,156,3,Some Random Commen with Id 16
17,3,9,197,4,Some Random Commen with Id 17
18,3,9,85,9,Some Random Commen with Id 18
19,3,9,76,4,Some Random Commen with Id 19
20,4,7,62,2,Some Random Commen with Id 20
21,5,5,162,7,Some Random Commen with Id 21
22,5,5,52,0,Some Random Commen with Id 22
23,5,5,69,1,Some Random Commen with Id 23
24,5,5,166,6,Some Random Commen with Id 24
25,5,5,11,0,Some Random Commen with Id 25
26,6,4,115,5,Some Random Commen with Id 26
27,6,4,74,2,Some Random Commen with Id 27
28,6,4,100,9,Some Random Commen with Id 28
29,6,4,49,5,Some Random Commen with Id 29
30,6,4,163,9,Some Random Commen with Id 30
31,6,4,4,3,Some Random Commen with Id 31
32,7,1,20,6,Some Random Commen with Id 32
33,7,1,179,2,Some Random Commen with Id 33
34,7,1,161,3,Some Random Commen with Id 34
35,8,0,120,5,Some Random Commen with Id 35
36,9,6,172,3,Some Random Commen with Id 36
37,9,6,119,7,Some Random Commen with Id 37
38,9,6,123,9,Some Random Commen with Id 38
39,9,6,47,5,Some Random Commen with Id 39
40,10,5,14,4,Some Random Commen with Id 40
41,10,5,197,0,Some Random Commen with Id 41
42,10,5,48,5,Some Random Commen with Id 42
43,10,5,10,2,Some Random Commen with Id 43
44,11,1,49,4,Some Random Commen with Id 44
