Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,97,8,Some Random Commen with Id 0
1,0,1,171,5,Some Random Commen with Id 1
2,0,1,167,7,Some Random Commen with Id 2
3,0,1,194,0,Some Random Commen with Id 3
4,0,1,132,8,Some Random Commen with Id 4
5,2,2,55,9,Some Random Commen with Id 5
6,2,2,97,0,Some Random Commen with Id 6
7,2,2,76,5,Some Random Commen with Id 7
8,2,2,29,0,Some Random Commen with Id 8
9,2,2,141,2,Some Random Commen with Id 9
10,2,2,66,0,Some Random Commen with Id 10
11,2,2,163,5,Some Random Commen with Id 11
12,3,8,79,6,Some Random Commen with Id 12
13,3,8,141,1,Some Random Commen with Id 13
14,3,8,14,3,Some Random Commen with Id 14
15,3,8,12,3,Some Random Commen with Id 15
16,3,8,170,6,Some Random Commen with Id 16
17,4,0,129,0,Some Random Commen with Id 17
18,4,0,68,8,Some Random Commen with Id 18
19,4,0,102,7,Some Random Commen with Id 19
20,4,0,183,8,Some Random Commen with Id 20
21,4,0,134,9,Some Random Commen with Id 21
22,4,0,170,6,Some Random Commen with Id 22
23,4,0,133,0,Some Random Commen with Id 23
24,4,0,147,7,Some Random Commen with Id 24
25,5,7,129,5,Some Random Commen with Id 25
26,5,7,74,6,Some Random Commen with Id 26
27,5,7,6,0,Some Random Commen with Id 27
28,5,7,56,8,Some Random Commen with Id 28
29,5,7,88,6,Some Random Commen with Id 29
30,5,7,67,5,Some Random Commen with Id 30
31,5,7,183,9,Some Random Commen with Id 31
32,5,7,65,1,Some Random Commen with Id 32
33,6,0,55,3,Some Random Commen with Id 33
34,6,0,26,7,Some Random Commen with Id 34
35,6,0,138,9,Some Random Commen with Id 35
36,6,0,192,2,Some Random Commen with Id 36
37,6,0,184,2,Some Random Commen with Id 37
38,6,0,114,0,Some Random Commen with Id 38
39,6,0,101,2,Some Random Commen with Id 39
40,6,0,24,4,Some Random Commen with Id 40
41,6,0,170,0,Some Random Commen with Id 41
42,7,1,143,5,Some Random Commen with Id 42
43,7,1,57,7,Some Random Commen with Id 43
44,7,1,25,4,Some Random Commen with Id 44
45,7,1,163,6,Some Random Commen with Id 45
46,7,1,7,9,Some Random Commen with Id 46
47,8,4,158,2,Some Random Commen with Id 47
48,8,4,55,4,Some Random Commen with Id 48
49,8,4,61,1,Some Random Commen with Id 49
50,9,2,91,5,Some Random Commen with Id 50
